AGE,AT_2000_F,AT_2000_M,AT_49_F,AT_49_M,AT_83_F,AT_83_M,IBGE_2020_F,IBGE_2020_M
0,0.001794,0.002311,0.00321,0.00404,0.001835,0.00269,0.0106351340054887,0.012426023222106
1,0.000755,0.000906,0.00136,0.00158,0.000778,0.001053,0.00070982258071867,0.000860536127940502
2,0.000392,0.000504,0.0007030000000000001,0.0008869999999999998,0.000402,0.000591,0.000445727411354691,0.000570273752423673
3,0.00029,0.000408,0.000521,0.000715,0.000298,0.000476,0.000333541216860914,0.000441466147736537
4,0.000232,0.000357,0.0004190000000000001,0.000627,0.00024,0.000417,0.00027008372585788,0.00036654505535954
5,0.000189,0.000324,0.000339,0.000566,0.000194,0.000377,0.000229355197348218,0.000317501952621063
6,0.000156,0.000301,0.000278,0.000526,0.00016,0.00035,0.000201659022694584,0.000283739557487222
7,0.000131,0.000286,0.000234,0.0005,0.000134,0.000333,0.00018274525790961,0.000260672007940999
8,0.000131,0.000328,0.000207,0.000487,0.000134,0.000352,0.000170785548251768,0.000246532727799569
9,0.000134,0.000362,0.000193,0.000482,0.000136,0.000368,0.000165363349401332,0.000241369670329005
10,0.00014,0.00039,0.000191,0.000483,0.00014099999999999998,0.000382,0.000167176616171941,0.000246877633960352
11,0.000148,0.000413,0.000208,0.000492,0.000147,0.000394,0.000178090651679028,0.000266722087522097
12,0.00015800000000000002,0.000431,0.000225,0.000502,0.000155,0.000405,0.000211592952581926,0.000307326259955023
13,0.00017,0.000446,0.000242,0.000512,0.000165,0.0004150000000000001,0.000252856861137944,0.000379258152970392
14,0.000183,0.000458,0.00026000000000000003,0.000524,0.000175,0.000425,0.000290156782709838,0.000499506095307256
15,0.000197,0.00047,0.000278,0.000537,0.000188,0.000435,0.000329872395419302,0.000986346113884097
16,0.000212,0.000481,0.000296,0.000551,0.000201,0.000446,0.000375897600373996,0.00126048536240546
17,0.000228,0.000495,0.000315,0.000567,0.000214,0.000458,0.000412520120928775,0.001509331888435
18,0.000244,0.0005099999999999999,0.000334,0.000584,0.000229,0.000472,0.000434741342604993,0.00171249934212905
19,0.00026000000000000003,0.000528,0.000354,0.000603,0.000244,0.000488,0.000446564743080488,0.001875718987135
20,0.000277,0.000549,0.000376,0.000624,0.00026000000000000003,0.000505,0.000457081476502194,0.0020391216336912
21,0.000294,0.000573,0.000398,0.000648,0.000276,0.000525,0.00047157849173497,0.00219713698491727
22,0.000312,0.000599,0.000421,0.000674,0.000293,0.000546,0.000487405261466712,0.0023004128395271
23,0.00033,0.000627,0.000446,0.0007019999999999999,0.000311,0.00057,0.000505962521880569,0.00233427898137997
24,0.000349,0.000657,0.0004730000000000001,0.000733,0.00033,0.000596,0.000527371780048462,0.0023166013909861
25,0.000367,0.000686,0.0005009999999999999,0.000768,0.000349,0.0006219999999999999,0.000549973250631057,0.00227546512864853
26,0.000385,0.000714,0.000531,0.0008060000000000001,0.000368,0.00065,0.000574531030086589,0.00224044029148163
27,0.000403,0.0007379999999999999,0.000563,0.000849,0.000387,0.000677,0.000604042687509429,0.00222122270605205
28,0.0004190000000000001,0.000758,0.000598,0.0008960000000000002,0.000405,0.000704,0.000639680591181711,0.00223235122820073
29,0.000435,0.0007740000000000001,0.0006360000000000001,0.000947,0.000423,0.000731,0.000680839341462294,0.00226799118206209
30,0.00045,0.000784,0.000677,0.001004,0.000441,0.000759,0.000728007891728923,0.00230904965929978
31,0.000463,0.000789,0.000721,0.001067,0.00046,0.000786,0.000778700942368681,0.00234781403176356
32,0.000476,0.000789,0.0007700000000000001,0.001136,0.000479,0.000814,0.000829819228142185,0.00239635636083399
33,0.000488,0.00079,0.000822,0.001213,0.000499,0.000843,0.000879942885882881,0.00245567246834877
34,0.0005,0.000791,0.0008789999999999999,0.001297,0.000521,0.0008759999999999999,0.000931800273200387,0.002526729353425
35,0.000515,0.000792,0.000942,0.001391,0.000545,0.000917,0.000989845814487524,0.00261172316672184
36,0.000534,0.000794,0.00101,0.001494,0.0005740000000000001,0.000968,0.00105791233416689,0.00271070196936765
37,0.000558,0.0008230000000000001,0.001085,0.001607,0.000607,0.001032,0.00113684132368656,0.00282247669737961
38,0.00059,0.000872,0.001167,0.0017329999999999995,0.000646,0.001114,0.00122861203180707,0.00294731122704314
39,0.00063,0.000945,0.001256,0.001872,0.000691,0.001216,0.00133346222456702,0.00308780875888839
40,0.000677,0.001043,0.001355,0.002025,0.000742,0.001341,0.00144804995246777,0.00324596021293009
41,0.000732,0.001168,0.001464,0.00222,0.000801,0.001492,0.00157439821106354,0.00342635128325739
42,0.000796,0.001322,0.001583,0.002481,0.000867,0.001673,0.00171881915502946,0.00363367579064241
43,0.000868,0.001505,0.001715,0.002804,0.000942,0.001886,0.00188380342567056,0.00387143735518174
44,0.00095,0.001715,0.001859,0.003187,0.001026,0.002129,0.00206729876150333,0.00413920587452804
45,0.001043,0.001948,0.002019,0.003625,0.0011220000000000002,0.002399,0.00226809966937046,0.00443329797442825
46,0.001148,0.002198,0.002196,0.004116,0.001231,0.002693,0.00248086702865606,0.00475357164704109
47,0.001267,0.002463,0.002391,0.004657,0.001356,0.003009,0.00270072763919689,0.00510463459770571
48,0.0014,0.00274,0.002606,0.005246,0.001499,0.003343,0.00292477492563487,0.00548820922843451
49,0.001548,0.0030280000000000003,0.002845,0.00588,0.001657,0.003694,0.00315714621941178,0.00590482801851389
50,0.00171,0.00333,0.003109,0.006557,0.00183,0.004057,0.00340854830178935,0.00635419802158333
51,0.001888,0.003647,0.003361,0.007277,0.002016,0.004431,0.00368241633072907,0.00683705260055113
52,0.002079,0.00398,0.003642,0.008038,0.002215,0.004812,0.00397339175261146,0.00735567261133783
53,0.002286,0.004331000000000001,0.003957,0.00884,0.002426,0.005198,0.0042822804957996,0.00791170489386821
54,0.002507,0.004698,0.0043100000000000005,0.009682,0.00265,0.005591,0.00461362497151341,0.0085068349809641
55,0.002746,0.005077,0.004705,0.010565,0.002891,0.005994,0.0049777437085279,0.00915104439784623
56,0.003003,0.005465,0.005146,0.011491,0.003151,0.006409000000000001,0.00537738201696182,0.00984038522153911
57,0.00328,0.005861,0.00564,0.01246,0.003432,0.0068390000000000005,0.00580847071806943,0.0105624774744842
58,0.003578,0.006265,0.006193,0.013475999999999998,0.003739,0.00729,0.00627289598624981,0.0113143724619708
59,0.003907,0.006693999999999999,0.006812,0.014542,0.004081,0.007781999999999998,0.00677889049355777,0.0121088611521831
60,0.004277,0.00717,0.007504,0.015662,0.0044670000000000005,0.008338,0.0073352990432822,0.012965451997267
61,0.004699,0.007714,0.008278,0.016869,0.004908,0.008983,0.0079547349283783,0.0139040190709169
62,0.005181,0.008348000000000001,0.009144,0.018199,0.005413,0.00974,0.00864848063875371,0.0149351320436664
63,0.005732,0.009093,0.010112,0.019666,0.00599,0.01063,0.00942749583975238,0.0160742149105355
64,0.006347,0.009968,0.011195,0.021283,0.006633,0.011664,0.0102964640421921,0.017329918831552
65,0.007017,0.010993,0.012406,0.023066,0.007336,0.012851,0.0112472270829031,0.0186750596619197
66,0.007734,0.012188,0.013759,0.02503,0.00809,0.014199000000000003,0.0122920194264476,0.0201431999312614
67,0.008491,0.013572,0.015272,0.027193,0.008888,0.015717,0.0134611241310153,0.0218149541309049
68,0.009288,0.01516,0.016963,0.029577,0.009731,0.017414,0.0147725272975468,0.0237359016591968
69,0.010163,0.016946,0.018853,0.032202,0.010653,0.019296,0.0162291886925059,0.0258952012455172
70,0.011165,0.01892,0.020964,0.035092,0.011697,0.021371,0.0178059026748023,0.0282295806905519
71,0.012339,0.021071,0.023321,0.038272,0.012905000000000002,0.023647,0.0195199624519207,0.030728008663783
72,0.013734,0.023388,0.025954,0.041771,0.014319,0.026131,0.0214289766414005,0.0334585647193052
73,0.015391,0.025871,0.028892,0.04562,0.01598,0.028835000000000006,0.0235649236778657,0.0364477822581055
74,0.017325999999999998,0.028552,0.032171,0.049852,0.017909,0.031794,0.0259288239338442,0.0397041276474145
75,0.019551,0.031477,0.035829,0.054501,0.020127000000000003,0.035046,0.0284701232902509,0.0432117276177281
76,0.022075,0.034686,0.039907,0.059609,0.022654,0.038631,0.0312100315364787,0.0469869254471718
77,0.02491,0.038225,0.044451,0.065216,0.025509,0.042587,0.0342462171260126,0.0510885538962572
78,0.028074,0.042132,0.049513,0.071368,0.028717000000000006,0.046951,0.0376333704965244,0.0555584236182585
79,0.031612,0.046427,0.055147,0.078113,0.032328,0.051755,0.0413761133204027,0.0604230416408331
80,0.03558,0.051128,0.061415,0.085503,0.036395,0.057026,0.0454462004340109,0.0647070630992944
81,0.04003,0.05625,0.068383,0.093593,0.040975,0.062791,0.0496731595087419,0.0692444650407475
82,0.045017,0.061809,0.07612100000000001,0.102443,0.046121,0.06908099999999999,0.0540808253920824,0.074070626331318
83,0.0506,0.067826,0.084707,0.112113,0.051889,0.075908,0.0586962475586388,0.0792269591096204
84,0.056865,0.074322,0.094224,0.122669,0.058336,0.08323,0.0635503845440386,0.0847623001321536
85,0.063907,0.081326,0.10476,0.134178,0.06551799999999999,0.090987,0.0686789657233806,0.0907346948950622
86,0.071815,0.088863,0.116409,0.14670899999999998,0.07349299999999999,0.099122,0.0741235714370333,0.097213709224628
87,0.080682,0.096958,0.12927,0.160333,0.08231799999999999,0.107577,0.079933000445831,0.104283457651465
88,0.090557,0.105631,0.14344500000000002,0.175124,0.092017,0.116316,0.086165019116607,0.112046618328619
89,0.101307,0.114858,0.15904,0.191151,0.102491,0.125394,0.0928886231213806,0.120629824540793
90,0.112759,0.124612,0.17616099999999998,0.208485,0.113605,0.13488699999999998,0.100186995201983,0.130191005616537
91,0.124733,0.13486099999999998,0.194913,0.227192,0.125227,0.144873,0.108161420176996,0.14092953244163
92,0.137054,0.145575,0.215399,0.247332,0.137222,0.15542899999999998,0.116936534289616,0.153100466689452
93,0.149552,0.156727,0.237714,0.26896,0.14946199999999998,0.166629,0.126667461883771,0.167034922951306
94,0.162079,0.16829000000000002,0.261943,0.292118,0.161834,0.178537,0.137549663762128,0.183169707662903
95,0.174492,0.180245,0.288153,0.316834,0.174228,0.191214,0.149832747532872,0.202091302771106
96,0.186647,0.192565,0.316391,0.343122,0.186535,0.204721,0.163840170570872,0.224602425161516
97,0.198403,0.205229,0.346674,0.370973,0.198646,0.21912,0.179997871044576,0.251824607102193
98,0.210337,0.218683,0.378986,0.400352,0.211102,0.234735,0.198876682373418,0.285358450818581
99,0.223027,0.233371,0.413266,0.431199,0.224445,0.251889,0.221256409099404,0.327534113131714
100,0.237051,0.249741,0.4494,0.463415,0.239215,0.270906,0.248224433217153,0.381789144343593
101,0.252985,0.268237,0.487216,0.49687,0.25595300000000004,0.292111,0.28132963012681,0.453156003097054
102,0.271406,0.28930500000000003,0.5264770000000001,0.531389,0.27520100000000003,0.315826,0.32282315490873,0.548474790433125
103,0.292893,0.313391,0.566872,0.566757,0.2975,0.342377,0.376023756639943,0.674233793795911
104,0.318023,0.34094,0.608017,0.6027140000000001,0.32339,0.372086,0.44580076016759,0.824381987457898
105,0.347373,0.372398,0.649459,0.6389560000000001,0.353414,0.405278,0.538851375976459,0.951546843042278
106,0.38152,0.40821,0.690674,0.675143,0.388111,0.442277,0.661937564732805,0.996961101062285
107,0.421042,0.448823,0.731092,0.7108979999999999,0.4280229999999999,0.4834060000000001,0.811089249815972,0.999990178980847
108,0.466516,0.494681,0.770105,0.745822,0.473692,0.528989,0.943363105055168,0.999999999903236
109,0.51852,0.546231,1.0,1.0,0.525658,0.5793510000000001,0.99576160931332,1.0
110,0.577631,0.603917,1.0,1.0,0.584462,0.634814,0.999980671530688,1.0
111,0.6444270000000001,0.668186,1.0,1.0,0.6506460000000001,0.695704,0.999999999624706,1.0
112,0.719484,0.739483,1.0,1.0,0.72475,0.762343,1.0,1.0
113,0.80338,0.818254,1.0,1.0,0.807316,0.8350559999999999,1.0,1.0
114,0.8966930000000001,0.904945,1.0,1.0,0.898885,0.914167,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
